@type xy
0.0001 4.024027335245893
0.0101 4.010503351433395
0.0201 3.971049146286263
0.0301 3.907342466588695
0.0401 3.821964501248348
0.0501 3.718134610995424
0.0601 3.599413724491907
0.07010000000000001 3.469423190472726
0.0801 3.331613369849079
0.0901 3.189099354967664
0.1001 3.044565565005486
0.1101 2.900229995699265
0.1201 2.757853443176638
0.1301 2.618778126351976
0.1401 2.483982119089248
0.1501 2.354139265235049
0.1601 2.229677640652488
0.1701 2.110832516590525
0.1801 1.997691939373506
0.1901 1.890234488502038
0.2001 1.788359638951328
0.2101 1.69191159308269
0.2201 1.600697607399314
0.2301 1.514501831789174
0.2401 1.433095583058033
0.2501 1.356244841703079
0.2601 1.283715621493464
0.2701 1.215277731815442
0.2801 1.150707340215855
0.2901 1.089788649138897
0.3001 1.032314925641784
0.3101 0.9780890637114828
0.3201 0.9269238130702073
0.3301 0.8786417734830213
0.3401 0.8330752272753685
0.3501 0.7900658630997688
0.3601 0.7494644293902942
0.3701 0.7111303451695036
0.3801 0.6749312879622785
0.3901 0.6407427727884855
0.4001 0.6084477319954991
0.4101 0.5779361026361819
0.4201 0.5491044258887063
0.4301 0.5218554614232461
0.4401 0.4960978184792349
0.4501 0.471745604602719
0.4601 0.4487180924166344
0.4701 0.4269394043923137
0.4801 0.4063382153107127
0.4901 0.3868474719122551
0.5001 0.3684041291098051
0.5101 0.3509489020619429
0.5201 0.3344260333602216
0.5301 0.3187830745648598
0.5401 0.3039706813213767
0.5501 0.2899424213009219
0.5601000000000001 0.2766545942257725
0.5701 0.2640660632659418
0.5801 0.252138097121078
0.5901 0.2408342221323691
0.6001 0.2301200838009235
0.6101 0.2199633171213126
0.6201 0.2103334251710341
0.6301 0.2012016654282036
0.6401 0.1925409433204907
0.6501 0.1843257125379915
0.6601 0.1765318816712317
0.6701 0.1691367267627345
0.6801 0.1621188093865182
0.6900999999999999 0.1554578998944913
0.7001 0.1491349054919894
0.7101 0.1431318028266647
0.7201 0.1374315747956299
0.7301 0.1320181512952144
0.7401 0.1268763536559514
0.7501 0.1219918425225367
0.7601 0.117351068954534
0.7701 0.1129412285386009
0.7801 0.1087502183170302
0.7901 0.1047665963504943
0.8001 0.1009795437451054
0.8101000000000001 0.09737882898530474
0.8201 0.0939547744247275
0.8301 0.09069822479709991
0.8401 0.08760051761846058
0.8501 0.08465345536059984
0.8601 0.081849279283625
0.8701 0.07918064482302063
0.8801 0.07664059843352216
0.8901 0.07422255579859096
0.9001 0.07192028132030405
0.9101 0.06972786881008113
0.9201 0.06763972330589606
0.9301 0.06565054394648464
0.9400999999999999 0.0637553078375922
0.9501 0.06194925484952542
0.9601 0.06022787328920591
0.9701 0.05858688639358695
0.9801 0.05702223959471121
0.9901 0.05553008850987074
1.0001 0.05410678761329944
1.0101 0.0527488795485971
1.0201 0.05145308504366717
1.0301 0.0502162933923601
1.0401 0.04903555346926401
1.0501 0.0479080652461842
1.0601 0.04683117178081385
1.0701 0.04580235164993054
1.0801 0.04481921180116393
1.0901 0.04387948079898008
1.1001 0.04298100244202269
1.1101 0.04212172973034987
1.1201 0.04129971916241297
1.1301 0.04051312534284724
1.1401 0.03976019588328957
1.1501 0.03903926657951034
1.1601 0.03834875684914979
1.1701 0.03768716541529014
1.1801 0.03705306622197468
1.1901 0.03644510456861085
1.2001 0.03586199345096768
1.2101 0.03530251009720359
1.2201 0.03476549268804036
1.2301 0.03424983725083754
1.2401 0.03375449471792004
1.2501 0.03327846814007361
1.2601 0.0328208100466503
1.2701 0.03238061994422135
1.2801 0.03195704194617983
1.2901 0.03154926252613259
1.3001 0.03115650838833127
1.3101 0.03077804444877813
1.3201 0.03041317192100495
1.3301 0.03006122650086434
1.3401 0.02972157664499327
1.3501 0.02939362193791035
1.3601 0.02907679154299194
1.3701 0.02877054273283926
1.3801 0.02847435949479991
1.3901 0.02818775120764349
1.4001 0.02791025138561411
1.4101 0.02764141648629182
1.4201 0.02738082477889268
1.4301 0.02712807526982342
1.4401 0.02688278668248148
1.4501 0.02664459648845686
1.4601 0.02641315998744768
1.4701 0.0261881494333482
1.4801 0.02596925320410631
1.4901 0.02575617501307831
1.5001 0.0255486331597316
1.5101 0.02534635981766207
1.5201 0.02514910035800283
1.5301 0.02495661270640382
1.5401 0.02476866673185998
1.5501 0.02458504366575717
1.5601 0.02440553554959265
1.5701 0.02422994470990844
1.5801 0.02405808325905389
1.5901 0.0238897726204668
1.6001 0.02372484307723171
1.6101 0.02356313334273938
1.6201 0.02340449015233327
1.6301 0.02324876787488716
1.6401 0.02309582814331347
