@type xydy
0.05 -0.1562395172323683 0.4454488119656052
0.051 -0.1558063805349218 0.4417591587438617
0.052 -0.1553828999856343 0.4381263919255406
0.053 -0.1549686844204931 0.4345491706496264
0.054 -0.1545633670757034 0.4310262014302322
0.055 -0.1541666035384618 0.4275562354795945
0.056 -0.153778069909671 0.4241380662738238
0.057 -0.1533974611529892 0.420770527330672
0.058 -0.1530244896081056 0.4174524901732845
0.059 -0.1526588836491103 0.4141828624578085
0.06 -0.1523003864713521 0.410960586245971
0.061 -0.1519487549923347 0.4077846364064442
0.062 -0.1516037588540487 0.4046540191310786
0.063 -0.1512651795157195 0.4015677705539892
0.064 -0.1509328094273128 0.398524955463079
0.065 -0.150606451275316 0.3955246660949436
0.066 -0.1502859172933261 0.3925660210052494
0.067 -0.1499710286308584 0.3896481640076585
0.068 -0.1496616147745519 0.3867702631752101
0.069 -0.1493575130166137 0.3839315098987841
0.07 -0.1490585679659255 0.3811311179978934
0.071 -0.1487646310977429 0.3783683228795764
0.072 -0.1484755603383618 0.3756423807416279
0.073 -0.148191219681518 0.3729525678168017
0.074 -0.1479114788336278 0.3702981796549666
0.075 -0.1476362128852818 0.3676785304405007
0.076 -0.1473653020066693 0.365092952342476
0.077 -0.1470986311648478 0.3625407948954145
0.078 -0.1468360898609817 0.3600214244086083
0.079 -0.1465775718858587 0.3575342234021713
0.08 -0.1463229750921595 0.3550785900681557
0.081 -0.1460722011820998 0.3526539377552062
0.082 -0.1458251555092003 0.3502596944753542
0.083 -0.1455817468930503 0.3478953024316647
0.084 -0.1453418874460424 0.3455602175655542
0.085 -0.1451054924111432 0.3432539091226863
0.086 -0.1448724800098537 0.3409758592364336
0.087 -0.1446427712995866 0.3387255625279714
0.088 -0.1444162900397549 0.3365025257221334
0.089 -0.14419296256593 0.3343062672782198
0.09 -0.1439727176714795 0.3321363170350064
0.091 -0.1437554864961474 0.3299922158692508
0.092 -0.1435412024210838 0.3278735153670382
0.093 -0.14332980096987 0.3257797775073535
0.094 -0.1431212197151255 0.3237105743573007
0.095 -0.1429153981903135 0.3216654877784318
0.096 -0.1427122778063947 0.3196441091436723
0.097 -0.1425118017730048 0.3176460390643693
0.098 -0.1423139150238574 0.3156708871270071
0.099 -0.1421185641460975 0.3137182716391686
0.1 -0.1419256973133504 0.3117878193843379
0.101 -0.1417352642222313 0.3098791653851665
0.102 -0.1415472160320979 0.3079919526748441
0.103 -0.141361505307843 0.3061258320762327
0.104 -0.1411780859655431 0.3042804619884428
0.105 -0.1409969132207858 0.302455508180547
0.106 -0.1408179435395177 0.3006506435921387
0.107 -0.1406411345912622 0.298865548140463
0.108 -0.140466445204567 0.2970999085338559
0.109 -0.1402938353245532 0.2953534180912437
0.11 -0.1401232659724438 0.2936257765674657
0.111 -0.1399546992069601 0.2919166899841933
0.112 -0.1397880980874798 0.290225870466232
0.113 -0.1396234266388591 0.2885530360829989
0.114 -0.1394606498178282 0.2868979106949818
0.115 -0.1392997334808721 0.2852602238049924
0.116 -0.1391406443535185 0.2836397104140349
0.117 -0.138983350000957 0.282036110881619
0.118 -0.1388278187999184 0.280449170790356
0.119 -0.1386740199117498 0.2788786408146803
0.12 -0.138521923256622 0.2773242765935475
0.121 -0.1383714994888112 0.2757858386069677
0.122 -0.1382227199730015 0.2742630920562349
0.123 -0.138075556761556 0.2727558067477242
0.124 -0.1379299825727075 0.2712637569801287
0.125 -0.1377859707696253 0.2697867214350183
0.126 -0.1376434953403136 0.2683244830706027
0.127 -0.137502530878301 0.2668768290185899
0.128 -0.1373630525640853 0.2654435504840327
0.129 -0.1372250361472948 0.2640244426480622
0.13 -0.1370884579295347 0.2626193045734091
0.131 -0.1369532947478845 0.2612279391126211
0.132 -0.1368195239590185 0.2598501528188833
0.133 -0.1366871234239187 0.258485755859357
0.134 -0.1365560714931547 0.2571345619309529
0.135 -0.1364263469927035 0.2557963881784574
0.136 -0.1362979292102874 0.2544710551149366
0.137 -0.136170797882204 0.2531583865443427
0.138 -0.1360449331806293 0.2518582094862515
0.139 -0.1359203157013715 0.2505703541026623
0.14 -0.1357969264520577 0.2492946536267951
0.141 -0.1356747468407327 0.2480309442938188
0.142 -0.1355537586648546 0.2467790652734521
0.143 -0.135433944100669 0.2455388586043762
0.144 -0.135315285692947 0.2443101691304022
0.145 -0.1351977663450705 0.2430928444383391
0.146 -0.1350813693094522 0.2418867347975099
0.147 -0.134966078178275 0.2406916931008626
0.148 -0.1348518768745397 0.2395075748076297
0.149 -0.134738749643406 0.2383342378874868
0.15 -0.1346266810438181 0.2371715427661652
0.151 -0.1345156559404012 0.236019352272474
0.152 -0.1344056594956193 0.23487753158669
0.153 -0.1342966771621843 0.2337459481902726
0.154 -0.134188694675706 0.2326244718168658
0.155 -0.1340816980475742 0.2315129744045476
0.156 -0.133975673558064 0.2304113300492899
0.157 -0.1338706077496554 0.2293194149595942
0.158 -0.1337664874205597 0.228237107412267
0.159 -0.1336632996184446 0.2271642877093024
0.16 -0.1335610316343512 0.2261008381358398
0.161 -0.1334596709967946 0.2250466429191645
0.162 -0.1333592054660428 0.2240015881887219
0.163 -0.1332596230285663 0.2229655619371161
0.164 -0.1331609118916534 0.2219384539820639
0.165 -0.1330630604781834 0.2209201559292779
0.166 -0.1329660574215549 0.2199105611362517
0.167 -0.13286989156076 0.2189095646769216
0.168 -0.1327745519356032 0.2179170633071807
0.169 -0.1326800277820571 0.2169329554312209
0.17 -0.1325863085277509 0.2159571410686794
0.171 -0.1324933837875879 0.2149895218225686
0.172 -0.1324012433594872 0.214030000847966
0.173 -0.1323098772202439 0.2130784828214446
0.174 -0.1322192755215067 0.2121348739112219
0.175 -0.1321294285858662 0.2111990817480098
0.176 -0.1320403269030516 0.2102710153965441
0.177 -0.131951961126232 0.209350585327777
0.178 -0.1318643220684191 0.2084377033917133
0.179 -0.1317774006989667 0.2075322827908734
0.18 -0.1316911881401655 0.2066342380543675
0.181 -0.1316056756639294 0.2057434850125619
0.182 -0.13152085468857 0.2048599407723242
0.183 -0.1314367167756567 0.2039835236928313
0.184 -0.1313532536269606 0.203114153361924
0.185 -0.1312704570814773 0.2022517505729963
0.186 -0.131188319112529 0.2013962373024027
0.187 -0.1311068318249412 0.2005475366873723
0.188 -0.131025987452292 0.1997055730044146
0.189 -0.1309457783542334 0.1988702716482055
0.19 -0.1308661970138799 0.1980415591109409
0.191 -0.1307872360352644 0.1972193629621449
0.192 -0.1307088881408581 0.1964036118289224
0.193 -0.1306311461691534 0.1955942353766438
