bz=93 d=xx m=mu
0 -0.0002132554372412 0.0001468765315665591
1 3.971868750075786e-05 6.560853325488484e-05
2 -5.1649495312555e-05 9.171880862348337e-05
3 3.88523331488302e-05 6.621873428274504e-05
4 -4.037952427915973e-05 7.363768403533876e-05
5 -8.145885726888014e-05 6.89072277713172e-05
6 -5.433219915528258e-05 6.3035664717515e-05
7 -0.0001391218745040687 6.459827199540206e-05
8 1.077454884114595e-05 6.144413019222564e-05
9 -2.541737406510944e-05 5.877501291855246e-05
10 7.22767011207539e-05 7.398510877178904e-05
11 -5.004084451727942e-05 6.041052953382884e-05
12 9.897627275001906e-05 7.14027713544392e-05
13 -1.346335771001571e-05 5.876083067560584e-05
14 4.870659970682041e-05 6.94612550692995e-05
15 -6.262300911303772e-05 5.678509201976324e-05
16 3.549982596445681e-05 7.22785648967292e-05
17 -9.199753234048999e-05 4.712383893961446e-05
18 5.015913000733262e-06 4.25890461312392e-05

bz=93 d=xx m=md
0 7.676259956266964e-05 0.0001030310174276669
1 -1.068444694026143e-05 5.418089439477572e-05
2 3.75521256995225e-05 4.807659113124923e-05
3 -4.785488329063864e-05 3.987930638883529e-05
4 -1.042642746940848e-05 3.547472847068692e-05
5 -3.664713210333343e-05 3.245695728894072e-05
6 -1.54332132661849e-05 3.220900207776171e-05
7 -8.871312615400061e-06 3.014734277139472e-05
8 -1.263889113811088e-05 3.135289863040229e-05
9 -1.543512839517477e-05 2.411301147286792e-05
10 -3.882934197580766e-05 2.854136726481606e-05
11 -1.056993853047311e-05 2.778142612133699e-05
12 -8.899554159781512e-06 3.190349277915885e-05
13 2.474155485880908e-05 3.006566835323167e-05
14 1.760808162964328e-05 2.897501190792245e-05
15 1.76640488830828e-05 2.450292456185938e-05
16 4.474915481765632e-06 2.340438064661271e-05
17 4.4593405801876e-05 2.046768429350505e-05
18 -1.512602880433391e-05 1.472734948372245e-05

bz=93 d=xx m=ms
0 2.782501389744821e-05 5.005100683735651e-05
1 3.153885048483179e-05 3.514326282788025e-05
2 1.826476224786482e-05 2.205589612887924e-05
3 4.181657695334143e-06 1.780236863092326e-05
4 -2.359283227408107e-06 1.611167744489926e-05
5 -9.836951890913164e-06 1.282735564110665e-05
6 -1.218250075437134e-05 1.241417025752474e-05
7 9.264467255393703e-07 9.782962067795544e-06
8 -4.002296125487988e-06 9.026447858479867e-06
9 -7.675389969464764e-06 7.868490779292821e-06
10 -7.947493817426459e-06 8.582804429772855e-06
11 -9.257347334981027e-06 6.191312331501524e-06
12 -8.794933967088893e-06 6.76668928621384e-06
13 -7.947831272674367e-07 5.099271770348549e-06
14 4.545487756504954e-07 4.443291593067437e-06
15 1.267955085874811e-06 3.8108776868763e-06
16 8.341790955617735e-07 4.653555894198055e-06
17 -9.753379817879518e-07 3.465293365556037e-06
18 4.156609118965772e-06 2.78840495136813e-06

bz=93 d=yy m=mu
0 -0.0001595910140287304 0.0001561704510018545
1 6.809889004395536e-05 8.302518483916739e-05
2 -3.085570803429286e-06 8.034613717495813e-05
3 -1.827123978540596e-06 6.870241266194551e-05
4 3.647291075698946e-05 7.185500996795414e-05
5 -1.391103582983451e-05 6.993848331210656e-05
6 -4.969810471105114e-05 6.139749864003291e-05
7 4.007101653913208e-05 5.907033714436542e-05
8 4.171114821579458e-06 5.127581070804166e-05
9 3.5123005059728e-05 5.065799071894705e-05
10 0.0001061327042091082 5.989166446829769e-05
11 6.501145659529449e-06 5.560126000247675e-05
12 3.693492573551268e-05 5.195972010422723e-05
13 -6.947731307094472e-05 6.315349696325481e-05
14 7.797054734396088e-05 6.224226937217406e-05
15 -6.461945644406958e-05 4.762962603467934e-05
16 7.51678804400048e-07 6.458113288145348e-05
17 -4.25132440156937e-05 4.909547561145641e-05
18 5.987600862888911e-05 3.725322227672287e-05

bz=93 d=yy m=md
0 5.471890832851429e-05 0.0001022339304342639
1 6.750285652663393e-06 4.335209133171488e-05
2 -4.882741226386071e-06 5.2831111408654e-05
3 3.594974465318929e-07 3.488576817737908e-05
4 -7.424666304267095e-05 3.931534698809493e-05
5 7.779501640804316e-06 2.941001588538304e-05
6 -4.02430155415007e-05 3.774166102510192e-05
7 9.268945415516673e-06 3.307485304133924e-05
8 -4.527412744431191e-06 2.899863742887199e-05
9 3.740440921882959e-05 3.391246640502972e-05
10 -1.024331638411689e-05 3.499698507740588e-05
11 -1.91768342045151e-05 3.099471491749255e-05
12 1.226269317457093e-05 2.77186508974195e-05
13 -2.890644058398927e-05 2.833308556621149e-05
14 -4.037602506786283e-06 2.380840098113835e-05
15 -7.919860605365793e-06 2.886860149460849e-05
16 -7.925064449583408e-06 2.450422066191517e-05
17 -2.147659280047593e-05 1.841082344031795e-05
18 4.009351937245166e-06 1.586067296692367e-05

bz=93 d=yy m=ms
0 3.364422909998214e-05 5.591026363423145e-05
1 -1.873786369136411e-05 2.765746567127125e-05
2 -1.276953351342679e-06 3.11173683482667e-05
3 -2.215913113162539e-05 1.768499250631973e-05
4 -1.055711838380752e-05 1.884373883125476e-05
5 -2.859120937847645e-05 1.278806002029222e-05
6 -5.336370642674205e-06 1.207363135567269e-05
7 -2.147521742570141e-05 9.713028650131864e-06
8 3.326319839899821e-06 9.049212071165104e-06
9 -9.396900829579111e-06 7.738147638401247e-06
10 -1.402305586870507e-06 5.774419355990798e-06
11 -9.090345920190655e-06 6.000114003660919e-06
12 6.740995078621194e-07 4.624265558709245e-06
13 7.57690294282594e-07 5.196900117684528e-06
14 -1.143256916017727e-06 3.955553869664159e-06
15 2.533287240126361e-06 4.391778259213299e-06
16 -2.944795220732125e-06 3.933160229695091e-06
17 -1.727544867839631e-07 3.063117895734945e-06
18 2.619556726406546e-07 2.547662290139874e-06

bz=93 d=zz m=mu
0 -0.0002935532124340179 0.0003167666751303632
1 4.589210789846607e-05 0.0002746552527640969
2 -0.0001641368372941732 0.0004037087322282281
3 6.778886487467089e-05 0.0003756562322838426
4 -6.011696080953732e-05 0.0004816422750119867
5 -0.0001474272115800077 0.000459544513228694
6 -0.0001207366970182957 0.0005348365774925684
7 -0.0002456079408220145 0.0004926975686858582
8 -0.0002070007309951636 0.0005066736978083933
9 -0.0001169825658537689 0.0004332743639393493
10 -0.0002147664381292339 0.000434604233338821
11 -7.705058614498804e-05 0.000387906076733817
12 -0.0002312874739968659 0.000390283436543342
13 3.089553555045714e-06 0.0003437451977297569
14 -0.000198248948800397 0.0003152086977542021
15 0.0001527637593568825 0.0002513268926898455
16 -0.0002040989537388725 0.0002152056540007708
17 0.000175235349254113 0.0001487962828693499
18 -0.0001821346696952532 9.768093583926487e-05

bz=93 d=zz m=md
0 0.0002821553135007196 0.0001986778726379915
1 -0.000264994492189682 0.0001480303205096545
2 0.0005116935154603827 0.0002444093519107077
3 -0.0003901188162137799 0.0002589235080341801
4 0.0007234398560567339 0.0003435534458290241
5 -0.0006435278576768257 0.0003848056431187153
6 0.000813716171282212 0.00041668693741178
7 -0.0008201544926595363 0.0004589350554246121
8 0.0008573191629137948 0.0004622183497299089
9 -0.0007414114523003721 0.0004280496318378007
10 0.0005537801460180079 0.0003593345086446945
11 -0.0005807829928314179 0.0003338349162796934
12 0.0004036800336046395 0.0002972945517426752
13 -0.0004583833436448723 0.0002653436637228785
14 0.0002443679732557643 0.0002111084520991072
15 -0.0002523650582358004 0.00017063328650819
16 0.0001053530448993381 0.0001242202517891248
17 -8.575374155703496e-05 9.650344463960228e-05
18 4.00053621970473e-05 5.396730870804518e-05

bz=93 d=zz m=ms
0 4.763126340050357e-05 8.652240288566656e-05
1 -4.907883575287875e-05 5.06267599154544e-05
2 5.224651946926304e-05 8.362344634907082e-05
3 -2.883713557343036e-06 4.717680271218587e-05
4 3.276990063695625e-05 6.733240957312447e-05
5 -9.48469371151775e-06 3.88384594273727e-05
6 2.512636461030786e-05 5.562373269822336e-05
7 -1.986695639219132e-05 3.201195524390385e-05
8 3.370801531389505e-05 4.186121097097223e-05
9 -2.262256275961783e-05 2.392984085663752e-05
10 3.183459894886223e-05 3.115583904944946e-05
11 -3.394665548610148e-05 1.980226419835555e-05
12 2.907355003811991e-05 2.311941368880134e-05
13 -2.700049427941055e-05 1.630182793790528e-05
14 2.726720860933225e-05 1.748819271023806e-05
15 -1.627383834576293e-05 1.182284992411892e-05
16 1.493616332178659e-05 1.086743828412621e-05
17 -1.060647245551382e-05 7.412709353139947e-06
18 8.353668559357518e-06 3.891906178102981e-06

