bz=41 d=xx m=mu
0 0.000347916332974399 0.0002851920337830551
1 0.0002882523684790043 0.0001672869635816243
2 0.0001412040632235582 0.0002036643152167861
3 0.0002470200229404427 0.000169878394123173
4 0.000100431419005863 0.0002112306712104667
5 0.0002181243660393033 0.0001839003704442976
6 1.31774198745688e-06 0.0001898586749027529
7 0.000111444263508982 0.0001751543784498338
8 -0.0001665735049944002 0.0001748756702790403
9 7.61746144945708e-06 0.0001815917158395221
10 -0.0001071518461937697 0.0001487432087110762
11 -9.02927112497495e-05 0.000161718994802261
12 -7.077438210587576e-05 0.0001747975851123653
13 -3.960481501968859e-05 0.0001566240465492262
14 5.322749217239298e-05 0.0001860153520290178
15 5.274498247486422e-05 0.0001538869726802331
16 0.0001859329074048984 0.0001769307988888867
17 0.0001173000338431375 0.0001389100933643185
18 1.521846279201445e-05 0.0001074964895940372

bz=41 d=xx m=md
0 0.0004030123344279167 0.0002100221649795102
1 0.0003535016070974907 0.0001215741676526334
2 0.0004101221633414188 0.0001684400933364211
3 0.0004292492671887152 0.0001636983041281333
4 0.0002035204122411383 0.0001507764423916986
5 0.0003923665645709164 0.0001561292802440094
6 0.0001566313692438624 0.0001636005798492646
7 0.000488430501769112 0.0001599754694708606
8 0.0001524877318123763 0.0001611289598326615
9 0.000389436206128342 0.0001774378004289638
10 0.0001546460286010404 0.0001579751452324578
11 0.0002018669395482772 0.000161344946819996
12 0.0001286835290273672 0.0001464809554838473
13 1.919147284638342e-05 0.0001557204006550497
14 3.854415137931202e-05 0.0001493035936296718
15 -0.0001118273643947813 0.0001419153077583454
16 0.0002042300228468793 0.0001152334444459348
17 -3.706259203684061e-05 0.0001059137102108332
18 0.0001185042527892836 5.89041636484163e-05

bz=41 d=xx m=ms
0 4.245283110231275e-05 3.749794588758604e-05
1 7.356143265577451e-07 2.5228359840284e-05
2 -9.374456066220882e-06 2.035073527376314e-05
3 -2.020196418229799e-05 1.646144899475905e-05
4 -1.655035441666383e-05 1.260360119233855e-05
5 -1.150837614932347e-05 1.047144287878498e-05
6 -7.026528774356311e-06 9.461187778483892e-06
7 -9.40772521268102e-08 8.503650690471917e-06
8 1.328074867403824e-06 6.865790110824089e-06
9 4.754595966898971e-06 5.960640452367713e-06
10 2.011079875556268e-06 5.291900612616141e-06
11 -7.869813772069916e-07 4.477921120742884e-06
12 4.189619374966122e-06 4.583919258184333e-06
13 1.076646575739145e-07 3.772291046278049e-06
14 4.798767607663716e-07 3.600053236060297e-06
15 5.447202745021976e-07 2.921671801954771e-06
16 -1.063743876783803e-07 2.674876271511141e-06
17 1.942712688879921e-06 2.067923104175808e-06
18 -2.837301321405068e-07 1.447708003269793e-06

bz=41 d=yy m=mu
0 0.0007046375387282471 0.0002805160478232071
1 0.0002236760879326511 0.0001557495950117673
2 0.000263713720790482 0.0001972089348943044
3 5.664537505945268e-05 0.0001765097341994682
4 0.000101981223786644 0.0001645772417490298
5 0.0002096754854024434 0.000156262663836759
6 3.529349113554711e-05 0.0001575903451445856
7 0.0003589713748813469 0.0001538920312818741
8 -0.0001329956815405283 0.0001642875343975484
9 0.0002125687838661281 0.0001622038220319791
10 -8.278036888871839e-05 0.0001642077850420122
11 0.0002217887784356623 0.0001623905458725257
12 -0.000212058958273476 0.0001607454926889836
13 0.0001209185870705104 0.0001676388715011074
14 -0.00010326725548371 0.0001815596073816614
15 7.074915832381296e-05 0.0001667315494701985
16 1.478367718222802e-05 0.0001691470990271982
17 7.592561770271348e-07 0.0001241466082348389
18 -5.265172420117061e-05 9.734682995203788e-05

bz=41 d=yy m=md
0 2.032270068448824e-05 0.0002311222848174029
1 -0.0001871831056110099 0.0001247759490777678
2 -0.0001530496006634851 0.0001539051128972013
3 -0.0002591165979447025 0.0001350692510533982
4 -8.425906948382525e-06 0.0001543240417655345
5 -1.399938996853022e-05 0.0001644544457655229
6 0.0001251889093090482 0.0001569606460420746
7 -3.480782001283933e-05 0.00014573521545281
8 1.699435826975704e-05 0.0001575138633499356
9 -5.15360026028976e-05 0.0001307617762055228
10 7.373668422877939e-05 0.0001475270744394221
11 1.590970435209016e-05 0.0001581557083712981
12 0.0001450700162415232 0.0001395136312224203
13 4.718911693357862e-05 0.0001495945871902069
14 0.0002027896261192385 0.0001234432749026322
15 0.0002082095498160448 0.0001397581469743814
16 0.0002111856881629133 0.0001117235349318613
17 0.0002122493863723398 0.0001131665679880848
18 0.0001023685066119517 6.362624702955927e-05

bz=41 d=yy m=ms
0 2.643318161855392e-05 3.914981864852403e-05
1 4.315888864965549e-05 2.623650345358477e-05
2 1.637736601779157e-05 2.086033858836766e-05
3 1.298773079922329e-05 1.568879431430642e-05
4 7.57997321883998e-06 1.30452829272924e-05
5 1.671409955282182e-05 1.062912403243386e-05
6 -4.152685755193044e-06 9.464095252046547e-06
7 8.449114727148315e-06 7.552186628531194e-06
8 -7.599497179360488e-06 6.927334164616313e-06
9 6.015069707648652e-06 5.870876452529605e-06
10 -5.068090956324239e-06 4.633786036664762e-06
11 3.711803290391243e-06 4.476108795449399e-06
12 -6.918067113355558e-06 3.772570931911364e-06
13 -1.505716844625205e-06 3.474594085647013e-06
14 -5.74711230673606e-06 3.148497789901117e-06
15 -1.902522286063616e-06 3.368400796611306e-06
16 -4.186415874499178e-06 2.769096352805138e-06
17 -2.743613720180884e-07 2.379405373141103e-06
18 -2.299193758591531e-06 1.44307536540843e-06

bz=41 d=zz m=mu
0 0.0006504535725039676 0.0005741888410512321
1 -8.121172441206169e-05 0.0003751663658488901
2 0.0008105328840736023 0.0006568418980282366
3 -0.0004088120379443546 0.0005729600252109019
4 0.001025733808231779 0.0007647175542666449
5 -0.0006406361600288088 0.0007050507941169615
6 0.001144808591282132 0.0008169191235656751
7 -0.000739899823544518 0.0007709165919729357
8 0.00119257263871344 0.0008193741003193767
9 -0.000800881469289038 0.0007687128252494284
10 0.001061137573382419 0.0008139707316462289
11 -0.0006306643340811567 0.0007350798653895151
12 0.000837495974714932 0.0007560408398108813
13 -0.0005524016059111423 0.0006533821415701154
14 0.0004275263735609327 0.0006485605708503406
15 -0.0003024022910447016 0.0005344985068204227
16 0.0001138179857538605 0.0004835175806986899
17 -9.981087860901716e-05 0.0003308280240005714
18 -6.662308244039101e-05 0.0002078386875229317

bz=41 d=zz m=md
0 0.0003169709821199735 0.0003342523323991848
1 3.997692701525903e-05 0.0002480931502209479
2 0.0004718290278621603 0.0004262955346779526
3 0.000219234955116378 0.0003832952203737727
4 0.0003522495460695318 0.0004912924275454235
5 0.0002355879616701904 0.0004638055457215862
6 0.0003686758826722624 0.000525937462022511
7 0.0001918733127909929 0.0005021784201434918
8 0.0004260369264737856 0.0005401412399929446
9 2.10580277896767e-05 0.0005221781626288226
10 0.0004374750624848933 0.0005143162199814756
11 -0.0001296178952714857 0.0004843506885903657
12 0.0004140567332455945 0.0004425340436472638
13 -1.444875245764185e-05 0.0004191941173884387
14 0.0001173611189133236 0.0003460419750521185
15 0.0001926886820306843 0.0003165831449852089
16 -0.0001260445012230451 0.0002483802857732382
17 9.32869253722296e-05 0.0001956188780380031
18 -6.451214370163714e-05 0.000114306561900429

bz=41 d=zz m=ms
0 6.519849001965588e-05 5.092070412725653e-05
1 -4.769880431493851e-05 3.288147278578872e-05
2 1.185224919506882e-05 4.342052481601721e-05
3 -1.902197379885585e-05 2.894598931737765e-05
4 -7.721496696709833e-06 3.702710937571144e-05
5 -5.282944452329025e-07 2.564132381837619e-05
6 -1.156013064708642e-05 2.993503710216637e-05
7 -2.392557126097406e-06 2.181245918660736e-05
8 -8.762173636546098e-06 2.402662473251468e-05
9 -1.209448763885377e-05 1.795323187406221e-05
10 -3.739978736212412e-06 1.892828172185614e-05
11 -1.740686623062019e-05 1.468252658282867e-05
12 8.796045835842843e-07 1.470832907982878e-05
13 -1.60529821758387e-05 1.158061705509442e-05
14 3.408452301601092e-06 1.045456354337766e-05
15 -8.18998665887033e-06 8.133680145832861e-06
16 3.199213838972323e-06 6.356540302063692e-06
17 -4.621851501146101e-06 4.222451980761951e-06
18 2.862657173283048e-06 2.367982084141819e-06

